ID;population;Gen;Treat;n;larva_emitter;H_E;herbivory_emitter;(E)-2-Methyl-2-butenal;?-pinene;?-pinene;5-Methyl-2-heptanone;6-Methyl-5-heptene-2-one;butanoic acid, butyl ester;2-Ethyl-1-hexanol;acetophenone ;nonanal ;cis-2-nonenal;dodecane;decanal;tridecane;tetradecane;dodecanal;trans-geranylaceone;tetradecanal;Sum
C1o2;C;1;o;2;0;3;0;10.97625379;3.496693128;2.009065475;6.09732781;15.49232351;4.589423942;4.420570818;2.117663342;10.09718941;2.009203879;10.83842298;5.665684656;7.454262355;6.352040968;19.22327563;4.856731881;4.369756705;120.0658903
C1o3;C;1;o;3;0;3;0;2.499461861;2.326653526;0.753416557;1.826012139;0;0.328399349;1.268490708;0.868137163;1.548548276;0.427216695;3.155265628;0.8664633;1.796977661;1.098585821;2.193714411;0;0.462383455;21.41972655
C5o1;C;5;o;1;0;3;0;2.582312771;0.264120682;0;1.16564243;4.199185939;0.10909632;0.399917877;0.336225997;2.495756079;0;1.309508587;2.075153222;0.617537313;0.452470844;1.822105315;1.326420887;0.569724311;19.72517858
C5o2;C;5;o;2;0;3;0;2.458733483;0;0;1.630399361;1.116648578;0;0;0.093017918;0.572724001;0;0.531076344;0.32759593;0.09217346;1.920399899;5.239630592;0.92000034;1.511478114;16.41387802
C5o3;C;5;o;3;0;3;0;2.562526657;1.110970615;0;0.509891105;8.710113801;0.313144734;0.931118954;0.781119897;21.39943005;0;2.713212675;5.688568894;1.186725046;1.240730745;5.410478042;2.999437598;1.194896861;56.75236567
C8o1;C;8;o;1;0;4;0;10.88957384;2.144599303;0.959715894;4.560298847;21.73337577;4.918641115;2.620537389;1.503859555;7.163602251;1.05261324;6.596823908;11.21854731;5.241563924;5.784153042;13.52558965;9.247031627;2.579884749;111.7404114
C8o2;C;8;o;2;0;3;0;8.035386852;2.076507861;0.916824894;3.869107164;21.68819643;4.6171786;2.488086842;0.85231699;6.986833682;1.249584992;5.406506667;5.94645589;4.833345992;7.778874217;10.73354346;9.229903328;1.945544501;98.65419836
C8o3;C;8;o;3;0;3;0;1.518497603;0.897797378;0;1.062041972;0;0;0.42307728;0;0.684453097;0;1.626345639;0.626943804;0.694764942;0.466585425;4.017463818;0;0.901265621;12.91923658
C13o1;C;13;o;1;0;3;0;2.090762991;0.319056463;0.255199687;1.276599831;1.049208455;0;0.588333397;0.615712138;1.38402254;0.133323226;1.298015136;0.834974542;0.574933354;0.727579628;5.626976967;0.553075844;0.871265588;18.19903979
C13o2;C;13;o;2;0;3;0;2.157770417;0.579666019;0.259523804;1.042573827;1.822444134;0.116559326;0.351932015;0.352170187;0.983885344;0.178012567;0.466718557;0.596085143;0.180615269;0.168222968;1.496995843;0.313291706;0.40124586;11.46771299
