ID;population;Gen;Treat;n;larva_emitter;H_E;herbivory_emitter;(E)-2-Methyl-2-butenal;?-pinene;?-pinene;5-Methyl-2-heptanone;6-Methyl-5-heptene-2-one;butanoic acid, butyl ester;2-Ethyl-1-hexanol;acetophenone ;nonanal ;cis-2-nonenal;dodecane;decanal;tridecane;tetradecane;dodecanal;trans-geranylaceone;tetradecanal;Sum
C13h3;C;13;h;3;0.0403;4;11;6.643016028;2.523010746;0.828808378;3.018592439;2.058474008;0.539409267;1.877750015;0.459600423;1.399323542;0.495850854;1.671455705;1.19973287;1.685238792;1.403330489;6.017266947;2.413350397;0.937849148;35.17206005
C15h1;C;15;h;1;0.0283;3;14;5.299001072;1.502768831;0.63835164;2.68711857;9.161951518;1.118675539;1.384952786;1.023745851;10.3178749;0.895646244;3.885131458;6.396810531;2.342688114;2.934402874;6.627007724;5.074645167;1.729679862;63.02045268
C15h2;C;15;h;2;0.0372;4;16;3.660735516;0.996840266;0.68107431;1.49360473;6.42755618;0.982336873;1.017564717;0.80038353;8.994896019;0.50237113;2.646862474;4.907561818;1.537322365;1.68243874;4.956282365;3.128788423;1.477146452;45.89376591
C15h3;C;15;h;3;0.0312;4;9;1.524228545;0.485497384;0.197250774;0.7661165;3.957487959;0.461538462;0.587720821;0.194123151;3.060722096;0.232391075;2.023647701;2.803107696;1.40330922;1.384645171;3.550788171;1.989623894;0.837436562;25.45963518
C19h1;C;19;h;1;0.0322;3;35;5.425963517;1.109346233;0.516107444;2.448575864;8.660695393;0.745554867;0.885888596;0.620713498;7.160360776;0.403998189;3.243976196;5.479979895;2.165809065;2.033289551;4.536342759;4.660101135;1.15237717;51.24908015
C19h2;C;19;h;2;0.0379;3;45;1.517585302;0.419061417;0.220419948;0.68048294;6.906414698;0.331968504;0.655490814;0.23648399;4.687542257;0.208272966;1.232202625;2.739060367;0.725346982;0.900103937;3.780088189;2.969139108;0.659231496;28.86889554
C19h3;C;19;h;3;0.0377;2;25;6.431370303;1.60324157;0.491580232;2.399893955;8.879069554;0.572776576;1.417944497;0.906690319;10.50519587;0.547548367;4.339219261;6.1464925;2.513578;2.322579378;7.57003381;3.600636269;2.050181487;62.29803195
C26h1;C;26;h;1;0.0367;3;20;6.44924141;1.934920753;0.972457732;4.009428661;6.73166741;1.952807113;1.455029997;0.542953708;7.245281538;0.838646768;0.629352802;4.216673277;5.398875337;8.885744625;5.699774406;2.188593882;2.162799346;61.31424876
C26h2;C;26;h;2;0.0268;4;18;5.587892039;1.397241742;0.888850702;3.633916623;7.600268367;1.185644922;1.501096868;0.757837122;5.96838095;0.87886189;0.526343115;5.784260674;6.397015056;10.03776882;13.48531294;4.569841247;6.214583958;76.41511704
C26h3;C;26;h;3;0.0285;3;14;1.763677191;1.467269975;0.398714858;1.407381047;0;0;0.704953612;0.290422583;1.026625098;0;2.155247079;1.088679321;1.42360321;0.595761637;2.726463704;0;0.447652009;15.49645132
C30h1;C;30;h;1;0.0424;3;25;13.82747511;19.32944448;4.411937547;6.662717419;63.29362554;4.811546824;6.22082178;2.825875977;56.32767204;2.377426267;13.00471074;39.18261596;18.95065541;35.1822142;39.89832525;31.41940541;9.509027603;367.2354975
C30h2;C;30;h;2;0.0344;3;27;4.798153568;4.558175318;1.120982141;2.574063576;16.42595185;1.388888246;1.501478919;0.703973221;20.21465345;1.151825414;3.162295468;11.8627941;5.713429049;12.72093741;9.796857827;9.384495837;3.17798705;110.2569424
C30h3;C;30;h;3;0.0437;4;0;5.005540247;0.448126315;0;2.179235411;0.748264676;0.939074726;1.22242957;0.519091469;3.583685049;0.184147802;5.507772623;1.844099899;2.166038811;0.795499204;8.746195077;0.414344181;2.905193763;37.20873882
C34h1;C;34;h;1;0.0378;4;15;2.621025873;0.863392322;0.45870625;1.160164187;6.667177153;0.678705816;1.005252263;0.534023055;7.002749571;0.417540009;3.506361858;5.818136315;2.373495332;1.924064644;4.797736318;3.392713841;1.113797229;44.33504204
C34h2;C;34;h;2;0.0388;4;24;3.426996731;1.124411036;0.403558746;0.92049246;8.885051949;0.859323104;1.611834855;0.38843078;6.462194214;0.53297727;4.237834986;3.43959081;2.563427247;2.901832123;3.866804194;3.268759714;0.98699334;45.88051356
C34h3;C;34;h;3;0.0377;4;3;4.109546456;1.054975315;0.528294118;1.038849877;19.01073518;0.859422748;1.306999022;1.386972731;13.32211213;0.504995524;2.703619063;8.211594904;2.144751206;1.432176084;3.910847369;8.220981578;1.040757431;70.78763074
