ID;population;Gen;Treat;H_E;GLVs;Monoterpenes;Aromatic compounds ;Long-chain alkanes;Alcohols and esters;GLVsg;Monoterpenesg;Aromatic compoundsg;Long-chain alkanesg;Alcohols and estersg
C1o2;C;1;c;3;10.97625379;4.856731881;2.117663342;7.454262355;4.420570818;10.97725379;4.857731881;2.118663342;7.455262355;4.421570818
C1o3;C;1;c;3;2.499461861;0;0.868137163;1.796977661;1.268490708;2.500461861;0.001;0.869137163;1.797977661;1.269490708
C5o1;C;5;c;3;2.582312771;1.326420887;0.336225997;0.617537313;0.399917877;2.583312771;1.327420887;0.337225997;0.618537313;0.400917877
C5o2;C;5;c;3;2.458733483;0.92000034;0.093017918;0.09217346;0;2.459733483;0.92100034;0.094017918;0.09317346;0.001
C5o3;C;5;c;3;2.562526657;2.999437598;0.781119897;1.186725046;0.931118954;2.563526657;3.000437598;0.782119897;1.187725046;0.932118954
C8o1;C;8;c;4;10.88957384;9.247031627;1.503859555;5.241563924;2.620537389;10.89057384;9.248031627;1.504859555;5.242563924;2.621537389
C8o2;C;8;c;3;8.035386852;9.229903328;0.85231699;4.833345992;2.488086842;8.036386852;9.230903328;0.85331699;4.834345992;2.489086842
C8o3;C;8;c;3;1.518497603;0;0;0.694764942;0.42307728;1.519497603;0.001;0.001;0.695764942;0.42407728
C13o1;C;13;c;3;2.090762991;0.553075844;0.615712138;0.574933354;0.588333397;2.091762991;0.554075844;0.616712138;0.575933354;0.589333397
C13o2;C;13;c;3;2.157770417;0.313291706;0.352170187;0.180615269;0.351932015;2.158770417;0.314291706;0.353170187;0.181615269;0.352932015
C13o3;C;13;c;3;2.571366759;0.356640933;0.323173247;0.940396796;0.646065864;2.572366759;0.357640933;0.324173247;0.941396796;0.647065864
C15o1;C;15;c;4;2.780644068;4.918624579;0.388477046;1.750323828;1.132055293;2.781644068;4.919624579;0.389477046;1.751323828;1.133055293
C15o2;C;15;c;3;2.605202552;3.790140119;0.558985291;1.277212693;0.956212404;2.606202552;3.791140119;0.559985291;1.278212693;0.957212404
C15o3;C;15;c;4;1.918255804;3.514936421;0.319260501;2.589872602;1.241935613;1.919255804;3.515936421;0.320260501;2.590872602;1.242935613
C19o2;C;19;c;4;4.356630221;6.080470737;0.505339018;1.832486445;1.124499001;4.357630221;6.081470737;0.506339018;1.833486445;1.125499001
C19o3;C;19;c;4;4.660734905;0.348411782;0.500187411;1.681546384;1.285539632;4.661734905;0.349411782;0.501187411;1.682546384;1.286539632
C26o1;C;26;c;3;5.217593626;1.757289431;0.989277325;4.097238394;1.808237351;5.218593626;1.758289431;0.990277325;4.098238394;1.809237351
C26o2;C;26;c;3;8.841304313;2.669860979;0.951883487;5.884383124;3.62574072;8.842304313;2.670860979;0.952883487;5.885383124;3.62674072
C26o3;C;26;c;4;2.449834311;0;0.573263161;1.873873265;1.066587284;2.450834311;0.001;0.574263161;1.874873265;1.067587284
C30o1;C;30;c;3;9.216340825;35.07498781;1.341623443;12.30383769;4.034032303;9.217340825;35.07598781;1.342623443;12.30483769;4.035032303
C30o2;C;30;c;4;8.167840524;9.807461893;0.796571059;3.35129106;2.215481756;8.168840524;9.808461893;0.797571059;3.35229106;2.216481756
C30o3;C;30;c;3;6.773241696;0.867902042;0.864550758;2.644244124;2.089660302;6.774241696;0.868902042;0.865550758;2.645244124;2.090660302
C34o1;C;34;c;3;4.346363646;3.794097914;0.811067211;2.715377161;1.226558323;4.347363646;3.795097914;0.812067211;2.716377161;1.227558323
C34o2;C;34;c;3;3.37203068;2.866939514;0.590621482;1.922684567;0.935827538;3.37303068;2.867939514;0.591621482;1.923684567;0.936827538
C34o3;C;34;c;4;4.091998129;7.23803633;0.319043371;1.366294438;1.107327282;4.092998129;7.23903633;0.320043371;1.367294438;1.108327282
C43o2;C;43;c;4;3.119434183;3.323380741;0.564328593;0.816260313;0.717611747;3.120434183;3.324380741;0.565328593;0.817260313;0.718611747
C43o3;C;43;c;4;2.874459427;0.253501499;0.368765755;1.573938956;1.526947149;2.875459427;0.254501499;0.369765755;1.574938956;1.527947149
C45o1;C;45;c;3;1.962819302;0;0;0.381961346;0.265646887;1.963819302;0.001;0.001;0.382961346;0.266646887
C45o2;C;45;c;3;3.858796413;0;0.3985823;3.307379554;1.752609117;3.859796413;0.001;0.3995823;3.308379554;1.753609117
C45o3;C;45;c;3;6.292767733;0.66824886;0.658310962;6.203617751;4.120362584;6.293767733;0.66924886;0.659310962;6.204617751;4.121362584
C50o1;C;50;c;3;23.09339814;33.04217411;4.764100751;11.11289439;9.878073354;23.09439814;33.04317411;4.765100751;11.11389439;9.879073354
C50o2;C;50;c;4;10.46510372;13.55845665;2.054441065;5.731362565;2.875581832;10.46610372;13.55945665;2.055441065;5.732362565;2.876581832
C50o3;C;50;c;4;2.005477017;0;0.279399984;0.454276654;0.303611908;2.006477017;0.001;0.280399984;0.455276654;0.304611908
C55o1;C;55;c;3;7.119775813;4.837669735;0.999749385;5.924245876;1.947530302;7.120775813;4.838669735;1.000749385;5.925245876;1.948530302
C55o2;C;55;c;3;19.98525783;20.69278982;2.897678339;11.06379588;5.049007739;19.98625783;20.69378982;2.898678339;11.06479588;5.050007739
C55o3;C;55;c;3;2.486267988;0;0;1.695505271;0.880832876;2.487267988;0.001;0.001;1.696505271;0.881832876
C61o1;C;61;c;4;4.590632177;3.812676024;0.982948614;1.881563624;2.366685999;4.591632177;3.813676024;0.983948614;1.882563624;2.367685999
C61o2;C;61;c;4;2.776275077;0.920970394;0.600378829;0.544177667;0.900671588;2.777275077;0.921970394;0.601378829;0.545177667;0.901671588
C61o3;C;61;c;4;0.824168494;0.304357448;0.195431076;0.211599454;0.301484678;0.825168494;0.305357448;0.196431076;0.212599454;0.302484678
C64o1;C;64;c;3;1.201781793;0.469175451;0.36886164;1.398699339;0.570727093;1.202781793;0.470175451;0.36986164;1.399699339;0.571727093
C64o2;C;64;c;4;5.780850322;1.208353564;0.878997846;2.592712338;1.064131198;5.781850322;1.209353564;0.879997846;2.593712338;1.065131198
C64o3;C;64;c;3;5.39190218;3.910658669;2.029888107;8.433867805;4.043626716;5.39290218;3.911658669;2.030888107;8.434867805;4.044626716
C1h1;C;1;h;4;10.56033826;10.25898405;0.710297221;13.38486341;2.925870559;10.56133826;10.25998405;0.711297221;13.38586341;2.926870559
C1h2;C;1;h;3;9.202753197;19.51200166;1.756970138;14.42015301;3.35737743;9.203753197;19.51300166;1.757970138;14.42115301;3.35837743
C1h3;C;1;h;3;3.47928214;0.368128556;0;2.224855551;1.239910611;3.48028214;0.369128556;0.001;2.225855551;1.240910611
C5h1;C;5;h;4;0.090730246;0.221309698;0.003435489;0.020536612;0.0092042;0.091730246;0.222309698;0.004435489;0.021536612;0.0102042
C5h2;C;5;h;3;4.096530626;3.803094357;0.731112549;1.542680897;2.068866093;4.097530626;3.804094357;0.732112549;1.543680897;2.069866093
C5h3;C;5;h;4;1.046170764;0.800488141;0.084437308;0.472102905;0.258797381;1.047170764;0.801488141;0.085437308;0.473102905;0.259797381
C8h1;C;8;h;3;8.178765782;2.703711106;0.998281208;12.29451871;1.827024434;8.179765782;2.704711106;0.999281208;12.29551871;1.828024434
C8h2;C;8;h;4;12.17571867;23.21830571;1.603529455;14.89075978;3.168987144;12.17671867;23.21930571;1.604529455;14.89175978;3.169987144
C8h3;C;8;h;3;5.500923508;0;0;3.860813729;2.284938423;5.501923508;0.001;0.001;3.861813729;2.285938423
C13h1;C;13;h;4;0.155726118;0.058723761;0.017420004;0.013040293;0.019824372;0.156726118;0.059723761;0.018420004;0.014040293;0.020824372
C13h3;C;13;h;4;6.643016028;2.413350397;0.459600423;1.685238792;1.877750015;6.644016028;2.414350397;0.460600423;1.686238792;1.878750015
C15h1;C;15;h;3;5.299001072;5.074645167;1.023745851;2.342688114;1.384952786;5.300001072;5.075645167;1.024745851;2.343688114;1.385952786
C15h2;C;15;h;4;3.660735516;3.128788423;0.80038353;1.537322365;1.017564717;3.661735516;3.129788423;0.80138353;1.538322365;1.018564717
C15h3;C;15;h;4;1.524228545;1.989623894;0.194123151;1.40330922;0.587720821;1.525228545;1.990623894;0.195123151;1.40430922;0.588720821
C19h1;C;19;h;3;5.425963517;4.660101135;0.620713498;2.165809065;0.885888596;5.426963517;4.661101135;0.621713498;2.166809065;0.886888596
C19h2;C;19;h;3;1.517585302;2.969139108;0.23648399;0.725346982;0.655490814;1.518585302;2.970139108;0.23748399;0.726346982;0.656490814
C19h3;C;19;h;2;6.431370303;3.600636269;0.906690319;2.513578;1.417944497;6.432370303;3.601636269;0.907690319;2.514578;1.418944497
C26h1;C;26;h;3;6.44924141;2.188593882;0.542953708;5.398875337;1.455029997;6.45024141;2.189593882;0.543953708;5.399875337;1.456029997
